,id,id2,latitude,longitude
531,6449128,SAMEA98156668,85.723,-150.6090833
532,6449295,SAMEA98155168,89.99033333,-89.2525
533,6449230,SAMEA98157418,85.16033333,-149.9722667
534,6449260,SAMEA98150668,85.16033333,-149.9722667
535,6449263,SAMEA98151418,82.50385,-149.7905
536,6449292,SAMEA98154418,89.99033333,-89.2525
537,6449289,SAMEA98153668,71.9966,-162.496
538,6449132,SAMEA98148418,85.723,-150.6090833
539,6449272,SAMEA98152918,77.4476,-147.8711
540,6449225,SAMEA98149168,85.16033333,-149.9722667
541,6449229,SAMEA98147668,85.723,-150.6090833
542,6449228,SAMEA98146918,85.723,-150.6090833
543,6449296,SAMEA98146168,85.723,-150.6090833
544,6449293,SAMEA98145418,85.723,-150.6090833
545,6449265,SAMEA98142418,87.77201667,-148.8943333
546,6449271,SAMEA98143918,87.77201667,-148.8943333
547,6449288,SAMEA98144668,87.77201667,-148.8943333
548,6449269,SAMEA98143168,87.77201667,-148.8943333
549,6449262,SAMEA98141668,87.77201667,-148.8943333
550,6449259,SAMEA98140918,87.77201667,-148.8943333
551,6449255,SAMEA98140168,87.77201667,-148.8943333
552,6449224,SAMEA98139418,87.77201667,-148.8943333
553,6449254,SAMEA98137918,89.99033333,-89.2525
554,6449129,SAMEA98137168,88.4072,-176.7614333
555,6449273,SAMEA98135668,88.4072,-176.7614333
556,8397723,SAMN08397723,None,None
571,2378733,SAMN02378733,41.523667,-70.672
572,2378735,SAMN02378735,31.666,-64.164
573,7781381,SAMEA104347408,None,None
574,7781339,SAMEA104347366,None,None
575,7781308,SAMEA104347335,None,None
576,7781341,SAMEA104347368,None,None
577,7781389,SAMEA104347416,None,None
578,7781370,SAMEA104347397,None,None
579,7781403,SAMEA104347430,None,None
580,7781400,SAMEA104347427,None,None
581,7781418,SAMEA104347445,None,None
582,7781409,SAMEA104347436,None,None
583,7781404,SAMEA104347431,None,None
584,7781410,SAMEA104347437,None,None
585,7781427,SAMEA104347454,None,None
586,7781423,SAMEA104347450,None,None
587,7781391,SAMEA104347418,None,None
588,7781394,SAMEA104347421,None,None
589,7781402,SAMEA104347429,None,None
590,7781412,SAMEA104347439,None,None
591,7781397,SAMEA104347424,None,None
592,7781398,SAMEA104347425,None,None
593,7781433,SAMEA104347460,None,None
594,7781392,SAMEA104347419,None,None
595,7781399,SAMEA104347426,None,None
596,7781407,SAMEA104347434,None,None
597,7781425,SAMEA104347452,None,None
598,7781426,SAMEA104347453,None,None
599,7781401,SAMEA104347428,None,None
600,7781393,SAMEA104347420,None,None
601,7781405,SAMEA104347432,None,None
602,7781390,SAMEA104347417,None,None
603,7781411,SAMEA104347438,None,None
604,7781406,SAMEA104347433,None,None
605,7781343,SAMEA104347370,None,None
606,7781324,SAMEA104347351,None,None
607,7781337,SAMEA104347364,None,None
608,7781327,SAMEA104347354,None,None
609,7781340,SAMEA104347367,None,None
610,7781358,SAMEA104347385,None,None
611,7781314,SAMEA104347341,None,None
612,7781323,SAMEA104347350,None,None
613,7781368,SAMEA104347395,None,None
614,7781359,SAMEA104347386,None,None
615,7781378,SAMEA104347405,None,None
616,7781345,SAMEA104347372,None,None
617,7781363,SAMEA104347390,None,None
618,7781352,SAMEA104347379,None,None
619,7781307,SAMEA104347334,None,None
620,7781361,SAMEA104347388,None,None
621,7781333,SAMEA104347360,None,None
622,7781371,SAMEA104347398,None,None
623,7781303,SAMEA104347330,None,None
624,7781342,SAMEA104347369,None,None
625,7781385,SAMEA104347412,None,None
626,7781316,SAMEA104347343,None,None
627,7781374,SAMEA104347401,None,None
628,7781344,SAMEA104347371,None,None
629,7781347,SAMEA104347374,None,None
630,7781349,SAMEA104347376,None,None
631,7781328,SAMEA104347355,None,None
632,7781336,SAMEA104347363,None,None
633,7781309,SAMEA104347336,None,None
634,7781367,SAMEA104347394,None,None
635,7781310,SAMEA104347337,None,None
636,7781377,SAMEA104347404,None,None
637,7781348,SAMEA104347375,None,None
638,7781346,SAMEA104347373,None,None
639,6449298,SAMEA98136418,88.4072,-176.7614333
640,3784604,SAMEA3355530,46.233,-124.16
641,3784602,SAMEA3355528,46.233,-124.16
642,3784600,SAMEA3355526,46.239,-124.161
643,3067615,SAMEA2619376,None,None
644,3386914,SAMEA3282989,None,None
645,3386894,SAMEA3282984,None,None
646,3386919,SAMEA3275645,None,None
647,3386918,SAMEA3275643,None,None
648,3386915,SAMEA3275639,None,None
649,3386912,SAMEA3275637,None,None
650,3386909,SAMEA3275633,None,None
651,3386908,SAMEA3275632,None,None
652,3386906,SAMEA3275630,None,None
653,3386900,SAMEA3275625,None,None
654,3386899,SAMEA3275624,None,None
655,3386898,SAMEA3275623,None,None
656,3386897,SAMEA3275622,None,None
657,3386896,SAMEA3275621,None,None
658,3386895,SAMEA3275620,None,None
659,3386893,SAMEA3275616,None,None
660,3386891,SAMEA3275614,None,None
661,3386890,SAMEA3275612,None,None
0,12729606,SAMEA5946132,36.688,-122.386
2,5416810,SAMN05416810,43.858,-60.157
3,5416796,SAMN05416796,43.858,-60.157
4,5416795,SAMN05416795,43.858,-60.157
5,5416802,SAMN05416802,46.707,-48.785
6,5416891,SAMN05416891,47.000,-48.288
7,5416889,SAMN05416889,47.000,-48.288
8,5416879,SAMN05416879,47.000,-48.288
9,5416876,SAMN05416876,47.000,-48.288
10,5416873,SAMN05416873,47.000,-48.471
11,5416872,SAMN05416872,47.000,-48.471
12,5416871,SAMN05416871,47.000,-48.471
13,5416870,SAMN05416870,47.000,-48.471
14,5416868,SAMN05416868,47.000,-48.471
15,5416866,SAMN05416866,47.000,-48.471
17,5416862,SAMN05416862,47.000,-48.471
18,5416861,SAMN05416861,47.000,-48.471
19,5416859,SAMN05416859,47.000,-48.471
20,5416858,SAMN05416858,47.000,-48.471
21,5416847,SAMN05416847,46.431,-48.480
22,5416834,SAMN05416834,43.858,-60.157
23,5416833,SAMN05416833,43.858,-60.157
24,5416832,SAMN05416832,43.858,-60.157
25,5416817,SAMN05416817,43.858,-60.157
27,5416806,SAMN05416806,43.858,-60.157
28,5416805,SAMN05416805,46.707,-48.785
29,5416788,SAMN05416788,43.858,-60.157
30,5416779,SAMN05416779,43.858,-60.157
31,5416778,SAMN05416778,46.707,-48.785
32,5416771,SAMN05416771,43.858,-60.157
33,5416749,SAMN05416749,46.431,-48.480
34,5416717,SAMN05416717,46.707,-48.785
35,5416716,SAMN05416716,46.707,-48.785
36,5416714,SAMN05416714,46.707,-48.785
37,5416708,SAMN05416708,46.707,-48.785
38,5416707,SAMN05416707,46.707,-48.785
39,5416705,SAMN05416705,46.707,-48.785
40,5416700,SAMN05416700,46.707,-48.785
41,5416785,SAMN05416785,43.858,-60.157
43,5416693,SAMN05416693,46.707,-48.785
44,5416853,SAMN05416853,47.000,-48.471
45,5416878,SAMN05416878,47.000,-48.288
46,5416883,SAMN05416883,47.000,-48.288
47,5416893,SAMN05416893,47.000,-48.288
48,5416814,SAMN05416814,43.858,-60.157
49,5416815,SAMN05416815,43.858,-60.157
50,5416888,SAMN05416888,47.000,-48.288
51,5416836,SAMN05416836,46.431,-48.480
52,5416787,SAMN05416787,43.858,-60.157
53,5416846,SAMN05416846,46.431,-48.480
54,5416750,SAMN05416750,46.431,-48.480
57,5416776,SAMN05416776,46.707,-48.785
58,5420121,SAMN05420121,47.000,-48.471
59,5416860,SAMN05416860,47.000,-48.471
60,5416791,SAMN05416791,43.858,-60.157
61,5416829,SAMN05416829,43.858,-60.157
62,5416812,SAMN05416812,43.858,-60.157
63,5416840,SAMN05416840,46.431,-48.480
64,5416850,SAMN05416850,46.431,-48.480
65,5416742,SAMN05416742,46.431,-48.480
66,5416728,SAMN05416728,46.431,-48.480
67,5416789,SAMN05416789,46.707,-48.785
68,5416697,SAMN05416697,46.707,-48.785
69,5420119,SAMN05420119,43.858,-60.157
71,5416880,SAMN05416880,47.000,-48.288
72,5416701,SAMN05416701,46.707,-48.785
73,5416692,SAMN05416692,46.707,-48.785
74,5416781,SAMN05416781,43.858,-60.157
75,5416831,SAMN05416831,43.858,-60.157
77,5416830,SAMN05416830,43.858,-60.157
78,5416842,SAMN05416842,46.431,-48.480
79,5416800,SAMN05416800,46.707,-48.785
82,5416703,SAMN05416703,46.707,-48.785
84,5416857,SAMN05416857,47.000,-48.471
86,5416720,SAMN05416720,46.707,-48.785
87,5416704,SAMN05416704,46.707,-48.785
88,5416875,SAMN05416875,47.000,-48.288
90,5416737,SAMN05416737,46.431,-48.480
91,5416798,SAMN05416798,46.707,-48.785
92,5416839,SAMN05416839,46.431,-48.480
93,5416874,SAMN05416874,47.000,-48.288
94,5416710,SAMN05416710,46.707,-48.785
95,5416855,SAMN05416855,47.000,-48.471
96,5416786,SAMN05416786,46.707,-48.785
97,5416841,SAMN05416841,46.431,-48.480
99,5416863,SAMN05416863,47.000,-48.471
102,5416894,SAMN05416894,47.000,-48.288
104,5416713,SAMN05416713,46.707,-48.785
107,5416869,SAMN05416869,47.000,-48.471
108,5416816,SAMN05416816,43.858,-60.157
109,5416844,SAMN05416844,46.431,-48.480
110,5416729,SAMN05416729,46.431,-48.480
111,5416804,SAMN05416804,43.858,-60.157
112,5416851,SAMN05416851,46.431,-48.480
114,5416746,SAMN05416746,46.431,-48.480
115,5416856,SAMN05416856,47.000,-48.471
116,5416751,SAMN05416751,46.431,-48.480
119,5416801,SAMN05416801,43.858,-60.157
120,5420118,SAMN05420118,43.858,-60.157
121,5416849,SAMN05416849,46.431,-48.480
122,5416852,SAMN05416852,46.431,-48.480
124,5416783,SAMN05416783,43.858,-60.157
125,5416822,SAMN05416822,46.431,-48.480
128,5416843,SAMN05416843,46.431,-48.480
129,5416782,SAMN05416782,46.707,-48.785
131,5416740,SAMN05416740,46.431,-48.480
132,5416723,SAMN05416723,46.431,-48.480
133,5416797,SAMN05416797,43.858,-60.157
134,5416818,SAMN05416818,43.858,-60.157
135,5416739,SAMN05416739,46.431,-48.480
137,5416726,SAMN05416726,46.431,-48.480
138,5416706,SAMN05416706,46.707,-48.785
139,5416775,SAMN05416775,43.858,-60.157
141,5416777,SAMN05416777,43.858,-60.157
142,5416854,SAMN05416854,47.000,-48.471
145,5416736,SAMN05416736,46.431,-48.480
146,5416711,SAMN05416711,46.707,-48.785
148,5416819,SAMN05416819,43.858,-60.157
150,5416799,SAMN05416799,43.858,-60.157
151,5416865,SAMN05416865,47.000,-48.471
153,5416773,SAMN05416773,43.858,-60.157
155,5416877,SAMN05416877,47.000,-48.288
156,5416702,SAMN05416702,46.707,-48.785
157,5416772,SAMN05416772,46.707,-48.785
159,5416718,SAMN05416718,46.707,-48.785
160,5416719,SAMN05416719,46.707,-48.785
162,5416699,SAMN05416699,46.707,-48.785
163,5416790,SAMN05416790,43.858,-60.157
164,5416886,SAMN05416886,47.000,-48.288
166,5416709,SAMN05416709,46.707,-48.785
167,5416734,SAMN05416734,46.431,-48.480
169,5420117,SAMN05420117,43.858,-60.157
171,5416774,SAMN05416774,46.707,-48.785
172,5416721,SAMN05416721,46.707,-48.785
173,5416793,SAMN05416793,43.858,-60.157
175,5416864,SAMN05416864,47.000,-48.471
177,5416881,SAMN05416881,47.000,-48.288
178,5416835,SAMN05416835,43.858,-60.157
180,5416885,SAMN05416885,47.000,-48.288
181,5420120,SAMN05420120,47.000,-48.471
182,5416794,SAMN05416794,43.858,-60.157
184,5416845,SAMN05416845,46.431,-48.480
185,5416809,SAMN05416809,43.858,-60.157
189,5416867,SAMN05416867,47.000,-48.471
190,5416807,SAMN05416807,46.707,-48.785
191,5416884,SAMN05416884,47.000,-48.288
193,5416887,SAMN05416887,47.000,-48.288
194,5416759,SAMN05416759,43.858,-60.157
195,5416731,SAMN05416731,46.431,-48.480
197,5416811,SAMN05416811,43.858,-60.157
198,5416784,SAMN05416784,46.707,-48.785
199,5416780,SAMN05416780,46.707,-48.785
200,5416752,SAMN05416752,43.858,-60.157
201,5416837,SAMN05416837,46.431,-48.480
205,5416808,SAMN05416808,43.858,-60.157
206,5416745,SAMN05416745,46.431,-48.480
209,5416727,SAMN05416727,46.431,-48.480
210,5416758,SAMN05416758,43.858,-60.157
211,5416741,SAMN05416741,46.431,-48.480
215,5416738,SAMN05416738,46.431,-48.480
216,5416813,SAMN05416813,43.858,-60.157
217,5416730,SAMN05416730,46.431,-48.480
219,5416770,SAMN05416770,46.707,-48.785
220,5416803,SAMN05416803,46.707,-48.785
223,5416732,SAMN05416732,46.431,-48.480
225,5416838,SAMN05416838,46.431,-48.480
226,5416694,SAMN05416694,46.707,-48.785
228,5416848,SAMN05416848,46.431,-48.480
233,5416735,SAMN05416735,46.431,-48.480
236,5416760,SAMN05416760,43.858,-60.157
237,5416792,SAMN05416792,46.707,-48.785
239,5416744,SAMN05416744,46.431,-48.480
240,5416892,SAMN05416892,47.000,-48.288
245,5416722,SAMN05416722,46.431,-48.480
247,5416890,SAMN05416890,47.000,-48.288
252,5416733,SAMN05416733,46.431,-48.480
253,5420122,SAMN05420122,47.000,-48.288
254,5416747,SAMN05416747,46.431,-48.480
256,5416698,SAMN05416698,46.707,-48.785
257,5185238,SAMEA4005048,None,None
258,5185232,SAMEA4005042,None,None
259,5185237,SAMEA4005047,None,None
260,5185227,SAMEA4005037,None,None
261,5185229,SAMEA4005039,None,None
262,5185228,SAMEA4005038,None,None
263,5185236,SAMEA4005046,None,None
264,5185231,SAMEA4005041,None,None
265,4961124,SAMN04961124,28.74,-88.37
266,4961126,SAMN04961126,28.74,-88.37
267,4961123,SAMN04961123,28.74,-88.37
268,5194319,SAMEA4017660,None,None
269,4870528,SAMN04870528,36.76612,24.515300000000025
270,5189117,SAMEA4017149,None,None
0,9091257,SAMN09091257,34.689258,33.038158
1,10748057,SAMEA5207829,65.34521,146.9191
2,10132597,SAMN10132597,37.211278,-80.443639
3,10132585,SAMN10132585,37.211278,-80.443639
4,10132586,SAMN10132586,37.215000,-80.442278
5,10132589,SAMN10132589,37.215000,-80.442278
6,10132590,SAMN10132590,36.662639,-76.733972
7,10132587,SAMN10132587,36.662639,-76.733972
8,10132605,SAMN10132605,36.662639,-76.733972
9,10132602,SAMN10132602,36.662639,-76.733972
10,10132608,SAMN10132608,36.662639,-76.733972
11,10132588,SAMN10132588,37.211278,-80.443639
12,10132606,SAMN10132606,37.211278,-80.443639
13,10132591,SAMN10132591,37.211278,-80.443639
14,10132596,SAMN10132596,36.662639,-76.733972
15,10132593,SAMN10132593,36.662639,-76.733972
16,10132592,SAMN10132592,37.215000,-80.442278
17,10132594,SAMN10132594,37.211278,-80.443639
18,10132598,SAMN10132598,37.215000,-80.442278
19,10132595,SAMN10132595,37.215000,-80.442278
20,10132603,SAMN10132603,37.211278,-80.443639
21,10132599,SAMN10132599,36.662639,-76.733972
22,10132601,SAMN10132601,37.215000,-80.442278
23,10132611,SAMN10132611,36.662639,-76.733972
24,10132607,SAMN10132607,37.215000,-80.442278
25,10132604,SAMN10132604,37.215000,-80.442278
26,10132609,SAMN10132609,37.211278,-80.443639
27,10132610,SAMN10132610,37.215000,-80.442278
28,10132612,SAMN10132612,37.211278,-80.443639
29,10132613,SAMN10132613,37.215000,-80.442278
30,10132584,SAMN10132584,36.662639,-76.733972
31,10132600,SAMN10132600,37.211278,-80.443639
32,4352292,SAMEA3539301,63.88306,-149.22556
33,2863107,SAMEA2468440,-35.10537036,139.27284046
34,2941885,SAMEA2553414,-35.10687879,139.27240269
35,9791825,SAMEA4378227,28,38
36,7337507,SAMEA104055722,None,None
37,7337510,SAMEA104055725,None,None
39,7337511,SAMEA104055726,None,None
50,7337505,SAMEA104055720,None,None
53,7337499,SAMEA104055714,None,None
54,7337501,SAMEA104055716,None,None
55,7337504,SAMEA104055719,None,None
61,7337500,SAMEA104055715,None,None
63,7337496,SAMEA104055711,None,None
68,4417259,SAMEA3539303,63.88306,-149.22556
69,2393684,SAMN02393684,43.470409,-80.544938
73,2393686,SAMN02393686,43.470409,-80.544938
81,2671747,SAMN02671747,None,None
88,1911457,SAMN01911457,None,None
89,2354108,SAMN02354108,34.975667,-97.519
90,2354099,SAMN02354099,34.975667,-97.519
91,2354098,SAMN02354098,34.975667,-97.519
92,2354097,SAMN02354097,34.975667,-97.519
93,3314305,SAMEA3113584,-36.67146,142.28934
94,3314302,SAMEA3113581,-35.11641,141.97633
95,4417264,SAMEA3539308,63.88306,-149.22556
96,4417262,SAMEA3539306,63.88306,-149.22556
97,4417258,SAMEA3539302,63.88306,-149.22556
98,4551112,SAMEA2464839,-35.105875,None
99,4551109,SAMEA2464836,-35.105875,None
100,4551111,SAMEA2464838,-35.105875,None
104,2863106,SAMEA2468439,-35.10536135,139.27284065
105,2863103,SAMEA2468436,-35.10536088,139.27280775
107,2863105,SAMEA2468438,-35.10537036,139.27284046
109,2941884,SAMEA2553413,-35.10536088,139.27280775
113,4417265,SAMEA3539309,63.88306,-149.22556
114,8123222,SAMEA4475357,28,38
115,3314306,SAMEA3113585,-36.67146,142.28934
116,3314304,SAMEA3113583,-35.12282,141.99678
117,1911456,SAMN01911456,None,None
118,2401118,SAMN02401118,None,None
120,737777,SAMN00737777,None,None
121,1048094,SAMN01048094,None,None
122,6232875,SAMEA3881238,None,None
123,3365316,SAMEA3235155,50.88,-120.35
124,3365325,SAMEA3235164,50.88,-120.35
125,3365314,SAMEA3235153,50.88,-120.35
126,3365319,SAMEA3235158,50.88,-120.35
127,4551110,SAMEA2464837,-35.105875,None
128,4551107,SAMEA2464834,-35.105875,None
129,4417263,SAMEA3539307,63.88306,-149.22556
130,4417260,SAMEA3539304,63.88306,-149.22556
131,8177682,SAMN08177682,43.07,-89.40
132,8177684,SAMN08177684,43.07,-89.40
133,8177685,SAMN08177685,43.07,-89.40
134,8177686,SAMN08177686,43.07,-89.40
135,8177687,SAMN08177687,43.07,-89.40
136,8177688,SAMN08177688,43.07,-89.40
137,8177676,SAMN08177676,43.07,-89.40
138,8177678,SAMN08177678,43.07,-89.40
139,8177677,SAMN08177677,43.07,-89.40
140,8177679,SAMN08177679,43.07,-89.40
141,8177680,SAMN08177680,43.07,-89.40
142,8177689,SAMN08177689,43.07,-89.40
143,8177690,SAMN08177690,43.07,-89.40
144,8177681,SAMN08177681,43.07,-89.40
145,8177683,SAMN08177683,43.07,-89.40
150,3365320,SAMEA3235159,50.88,-120.35
151,3330174,SAMEA2468442,-35.10687009,139.27242482
152,4120388,SAMN04120388,31.48,121.74
153,2324088,SAMN02324088,43.6408333333,-80.4097222222
183,3273953,SAMN03273953,20.459293,85.93301
184,2354106,SAMN02354106,34.975667,-97.519
185,2354105,SAMN02354105,34.975667,-97.519
186,1048102,SAMN01048102,None,None
187,1048018,SAMN01048018,None,None
188,2863104,SAMEA2468437,-35.10541527,139.27282854
189,4092657,SAMN04092657,35.239,128.978
190,4092656,SAMN04092656,35.239,128.978
191,728626,SAMN00728626,None,None
192,2713776,SAMN02713776,42.4,-85.4
193,2713773,SAMN02713773,42.4,-85.4
194,2713762,SAMN02713762,45.4,-93.2
195,2713689,SAMN02713689,45.423832,-93.201862
196,1048096,SAMN01048096,None,None
231,5767752,SAMN05767752,-76.9522167,161.40438330000006
232,5767747,SAMN05767747,-76.11045,162.01398330000006
233,5767744,SAMN05767744,-77.0062833,162.39734999999996
234,5767753,SAMN05767753,-76.1607667,162.01583329999994
235,5767754,SAMN05767754,-77.0460333,161.35931670000002
236,5767755,SAMN05767755,-76.9671167,161.16216669999994
237,5767745,SAMN05767745,-76.7834167,161.45023330000004
238,5767749,SAMN05767749,-77.0230667,161.71323329999996
239,5767748,SAMN05767748,-76.72885,161.01165000000003
240,5767751,SAMN05767751,-76.6546167,161.09294999999997
241,5767750,SAMN05767750,-77.65005,163.11668329999998
242,5767740,SAMN05767740,-76.8690667,161.7524667
243,5767743,SAMN05767743,-77.01915,161.78218330000004
244,5767742,SAMN05767742,-76.8226333,162.1070333
268,6349970,SAMN06349970,-76.0965,162.01
269,6349978,SAMN06349978,-77.0157,161.405
270,6349968,SAMN06349968,-76.4936,162.064
271,6349966,SAMN06349966,-77.0038,162.238
272,6349984,SAMN06349984,-76.5713,161.243
273,6349973,SAMN06349973,-77.0115,161.469
274,6349976,SAMN06349976,-77.0138,161.428
275,6349986,SAMN06349986,-77.0276,161.216
276,6349965,SAMN06349965,-76.0663,162.008
277,6349975,SAMN06349975,-77.0109,161.445
278,6349983,SAMN06349983,-77.0148,161.456
279,6349964,SAMN06349964,-76.5214,161.451
280,6349967,SAMN06349967,-76.4701,161.27
281,6349980,SAMN06349980,-77.011,161.426
282,6349974,SAMN06349974,-77.0065,161.46
283,6349988,SAMN06349988,-76.4373,161.007
284,6349985,SAMN06349985,-76.5803,161.097
285,6349987,SAMN06349987,-76.3928,161.056
286,6185809,SAMN06185809,21.12,79.07
287,6185812,SAMN06185812,21.14,79.08
288,6185813,SAMN06185813,21.14,79.08
289,6185810,SAMN06185810,21.14,79.08
290,6185811,SAMN06185811,21.14,79.08
291,6185814,SAMN06185814,21.14,79.08
296,2440304,SAMN02440304,48.4244,-123.3881
299,2954285,SAMN02954285,36.3875,127.3392
300,3275224,SAMN03275224,43.7,-79.4
301,3273951,SAMN03273951,20.459293,85.93301
302,3273956,SAMN03273956,20.459293,85.93301
303,3273954,SAMN03273954,20.459293,85.93301
304,3273955,SAMN03273955,20.459293,85.93301
305,3273952,SAMN03273952,20.459293,85.93301
307,2954283,SAMN02954283,None,None
308,1940375,SAMN01940375,34.145397,77.567614
